job_id,file_name,status,time,new_unary,new_binary,other,total_derive_0,all_derive,percentage
900471,interleave_31.0_19c3796341c9361f30fc4d03d1914fb6-hitag2-10-60-0-0xdf7fa6426edec07-17,UNDEFINED/UNSAT,5110.261,46,848,55,115,193,0.5958549222797928
900508,interleave_31.0_7143d6509c168869ea1d86638c9ca262-rphp4_095_shuffled,UNDEFINED/UNSAT,2220.885,56,2851,11838,157,229,0.6855895196506551
900558,interleave_31.0_eb8a05f11e4720d801e213c3648f8bba-ctl_3791_556_unsat_pre,UNDEFINED/UNSAT,2274.238,0,2958,0,114,186,0.6129032258064516
900467,interleave_31.0_10aca82b7b9798a9a088f4df2c324d1d-cruxmiter29seed9,UNDEFINED/UNSAT,3145.737,19,632,39,120,196,0.6122448979591837
900524,interleave_31.0_901dfaac739b6cb18711faac9f5b909d-queen12_12.col.12,UNDEFINED/UNSAT,653.845,0,0,0,165,165,1.0
900531,interleave_31.0_a48bfbd6ad8a8c4b9475291fdc540f1b-mp1-rubikcube401,UNDEFINED/UNSAT,2340.812,201,5311,22,53,122,0.4344262295081967
900557,interleave_31.0_eacc395ad0ff3a78fdc9e2a6accaefe7-rbsat-v760c43649gyes10,SAT,1533.004,0,0,176,182,182,1.0
900486,interleave_31.0_3b5f922e28a18ed17be03f0fd3923ce8-bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30,UNDEFINED/UNSAT,4193.041,0,102,0,156,190,0.8210526315789474
900495,interleave_31.0_4dde0c9c5dc0c2b44d750d22c618a6a9-SGI_30_70_28_60_1-dir.shuffled-as.sat03-175,SLURM_TIME_LIMIT,5100,9,2012,777,170,219,0.776255707762557
900497,interleave_31.0_53742d5ab42c7dcc531c21faceb25cea-php-012-011.shuffled-as.sat05-1186,UNDEFINED/UNSAT,3723.112,2,21,10,237,240,0.9875
900526,interleave_31.0_99718c1729a8de3347a9946f1836421d-bivium-39-200-0s0-0xdcfb6ab71951500b8e460045bd45afee15c87e08b0072eb174-43,UNDEFINED/UNSAT,2271.453,6,145,4,128,171,0.7485380116959064
900500,interleave_31.0_58018fa1dbb96cc22bd83084e087dafc-MUS-v320-3,SLURM_TIME_LIMIT,5100,0,0,0,198,198,1.0
900462,interleave_31.0_0acb650946685281a796dcada88f8cfd-SGI_30_60_25_40_2-dir.shuffled-as.sat03-120,UNDEFINED/UNSAT,3563.016,47,1877,855,146,202,0.7227722772277227
900515,interleave_31.0_81d2158d506ea1049708837460b9387e-WS_400_24_70_10.apx_2_DC-AD,UNDEFINED/UNSAT,3383.835,0,19,1,190,198,0.9595959595959596
900549,interleave_31.0_d017cb009e488657a65b9ca3bc76db8f-fphp-012-011.shuffled-as.sat05-1228,UNDEFINED/UNSAT,3157.85,0,9,19,229,232,0.9870689655172413
900485,interleave_31.0_38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v1150c84314gyes10,SLURM_TIME_LIMIT,5100,0,1,1,211,212,0.9952830188679245
900455,interleave_31.0_01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169,UNDEFINED/UNSAT,5067.604,3,1710,380,168,216,0.7777777777777778
900477,interleave_31.0_25fb7464ca6edd09189582fedaf5dba6-bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99,UNDEFINED/UNSAT,3867.925,0,88,0,154,187,0.8235294117647058
900559,interleave_31.0_ee4fb1a1a04befd91146ee6c8f06541c-rphp4_085_shuffled,UNDEFINED/UNSAT,1568.958,23,2864,9047,149,217,0.6866359447004609
900463,interleave_31.0_0b4421f6aac81e2dbc87c5b5ddae6511-52bits_12.dimacs,SAT,3494.022,33,622,131,57,135,0.4222222222222222
900525,interleave_31.0_953e9ff735bdf5ada27b0ab2b908b6af-WS_400_24_70_10.apx_1_DC-ST,UNDEFINED/UNSAT,2954.195,0,172,17,154,191,0.806282722513089
900501,interleave_31.0_5a9ce84a8725164c40c90d2eb420bad9-sted5_0x0_n90-157,SAT,799.434,98,2036,792,8,72,0.1111111111111111
900496,interleave_31.0_52f0758b80219735043645a58651e0d3-fixedbandwidth-eq-32_shuffled,SLURM_TIME_LIMIT,5100,0,0,0,202,202,1.0
900483,interleave_31.0_307586ddb51dbb0217b1611876e59882-aes_32_3_keyfind_1-sc2011,SAT,1327.115,0,52,1,103,117,0.8803418803418803
900533,interleave_31.0_abe802007c9aed4eab2e758fb130174b-mp1-klieber2017s-1600-022-eq,UNDEFINED/UNSAT,3512.427,22,1182,156,38,127,0.2992125984251969
900510,interleave_31.0_79b8367e104560d2446fc9a5e2b86af2-MUS-v320-1,SLURM_TIME_LIMIT,5100,0,0,0,183,183,1.0
900469,interleave_31.0_1575dcf4547f5854850b971013683c37-edit_distance007_85,UNDEFINED/UNSAT,2478.052,108,2665,851,15,129,0.11627906976744186
900550,interleave_31.0_d27c2011e47a5da3496ee4ae881cf7d3-sha1r17m149ABCD,SAT,5100,11,483,24,26,49,0.5306122448979592
900519,interleave_31.0_8a6e8365555580ed3e0ccea9998b5fa6-SGI_30_70_26_40_6-dir.shuffled-as.sat03-163,UNDEFINED/UNSAT,4331.182,25,3184,871,149,206,0.7233009708737864
900545,interleave_31.0_c320454b0750a2f351ce1257db0b51db-SAT_instance_N=31,SAT,2921.826,99,1370,175,36,120,0.3
900535,interleave_31.0_b1f69df5a20cab321a8417503d83f599-bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34,UNDEFINED/UNSAT,4620.313,4,132,3,149,187,0.7967914438502673
900540,interleave_31.0_b7df8585b4695869fa6f857adb940897-mod4block_2vars_8gates_u2_autoenc,UNDEFINED/UNSAT,3272.274,55,863,108,67,140,0.4785714285714286
900539,interleave_31.0_b5c3e33e90f4c95502754c7e2e92a6d2-randomG-B-Mix-n16-d05,UNDEFINED/UNSAT,2744.12,2,1130,0,98,207,0.47342995169082125
900482,interleave_31.0_2eee5bfbc4019900d2cac2206949defe-homer19.shuffled,SLURM_TIME_LIMIT,5100,0,0,0,251,251,1.0
900552,interleave_31.0_d4d2f27d791731f2c90da10e7b5797d9-rbsat-v760c43649gyes5,SLURM_TIME_LIMIT,5100,0,0,46,219,219,1.0
900493,interleave_31.0_4611cd26b441b8c5866e4a2c5a7952dc-WS_400_24_90_10.apx_1_DS-ST,SLURM_TIME_LIMIT,5100,0,164,0,188,223,0.8430493273542601
900490,interleave_31.0_3f266eb6ee4251b947c582f7c6a59d67-problem_23.smt2,UNDEFINED/UNSAT,4565.415,25,2221,93,77,177,0.4350282485875706
900498,interleave_31.0_55148deb944978e35b4a432e20ec4ccb-fixedbandwidth-eq-36_shuffled,SLURM_TIME_LIMIT,5100,0,0,0,194,194,1.0
900491,interleave_31.0_3f6f965092f896d6c711fb314e49ed47-Grain_no_init_ver1_out200_known_last104_0_u,UNDEFINED/UNSAT,4254.163,0,526,5,115,195,0.5897435897435898
900517,interleave_31.0_8270ae50e6f2881136868db6d3a88eee-WS_400_24_90_10.apx_2_DC-AD,SLURM_TIME_LIMIT,5100,0,0,5,214,214,1.0
900555,interleave_31.0_df13625b6e8eb436cd884f5593c7216d-rphp5_035_shuffled,UNDEFINED/UNSAT,1094.269,7,623,1506,181,200,0.905
900472,interleave_31.0_19dc8e4bf621cbc8a762c35525f883d6-50bits_13.dimacs,SAT,3279.209,30,346,159,66,127,0.5196850393700787
900547,interleave_31.0_cf535843b8d62df0c46404c9d37464ee-Schur_160_5_d35,SLURM_TIME_LIMIT,5100,0,9,0,209,214,0.9766355140186916
900505,interleave_31.0_6d7c0deeffe06978367a90a10f608d59-SGI_30_60_28_30_1-dir.shuffled-as.sat05-438,SAT,5100,0,268,226,134,162,0.8271604938271605
900534,interleave_31.0_af6db1b9c5e0a3f02e8986878dda4761-MUS-v300-2,SLURM_TIME_LIMIT,5100,0,0,0,193,193,1.0
900541,interleave_31.0_b8322792935eab432e7696e2ca298ff3-gensys-ukn008.shuffled-as.sat05-3351,SLURM_TIME_LIMIT,5100,0,1204,6,53,153,0.3464052287581699
900548,interleave_31.0_cf5cb637eb7138ad665cdf9269239d83-SGI_30_70_23_60_1-dir.shuffled-as.sat03-158,SLURM_TIME_LIMIT,5100,12,3560,389,161,215,0.7488372093023256
900563,interleave_31.0_f24dbbdcac17bcbaeb187c03e11bdf49-bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98,UNDEFINED/UNSAT,2999.741,0,66,0,152,179,0.8491620111731844
900489,interleave_31.0_3e29b1449c9b29120ffac84634f6e5f5-22930-0426-195.smt2,SLURM_TIME_LIMIT,5100,6,1942,26,47,137,0.34306569343065696
900511,interleave_31.0_7ae7a8ac37541f83c41cde6900f34412-sha1r17m146ABCD,SAT,3483.932,14,1219,195,52,133,0.39097744360902253
900523,interleave_31.0_8e883992b13498772ed8af6df10e557c-ctl_3082_415_unsat_pre,SLURM_TIME_LIMIT,5100,2,4422,137,54,152,0.35526315789473684
900459,interleave_31.0_069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002,SLURM_TIME_LIMIT,5100,23,2954,658,159,210,0.7571428571428571
900564,interleave_31.0_f35ed23733431177436a1e7797c07dfe-SCPC-900-31,SLURM_TIME_LIMIT,5100,0,0,0,254,254,1.0
900487,interleave_31.0_3c4ac805726d78a869ff8116ee3533db-homer18.shuffled,SLURM_TIME_LIMIT,5100,0,4,2,251,251,1.0
900516,interleave_31.0_822ac2997c9e0f0def5971dabcdb0dd9-mchess_18,SLURM_TIME_LIMIT,5100,0,47,0,189,197,0.9593908629441624
900457,interleave_31.0_047c92e7c0a36a23d8107f4313517719-rubikcube701-sc2017,SLURM_TIME_LIMIT,5100,255,6442,0,57,133,0.42857142857142855
900478,interleave_31.0_261e338938f4757e91f0cf753484d662-connm-ue-csp-sat-n800-d0.02-s111845174.sat05-536.reshuffled-07,SLURM_TIME_LIMIT,5100,0,426,2,110,171,0.6432748538011696
