job_id,file_name,status,time,new_unary,new_binary,other,total_derive_0,all_derive,percentage
897987,interleave2023_24.0_5b3d8a4465726adfcb58b9cdb1cc33f1,SLURM_TIME_LIMIT,5100,0,12059,211,54,149,0.3624161073825503
898072,interleave2023_24.0_97a17306a2882e0fd1aa3981a267df0d,SLURM_TIME_LIMIT,5100,173,121,0,66,106,0.6226415094339622
898152,interleave2023_24.0_d0364ea3e1680c6da7e982e6b0264af6,SAT,4823.819,6,400,11,133,158,0.8417721518987342
897977,interleave2023_24.0_54ab5a53d2fdfcda16ec74768b29f901,SLURM_TIME_LIMIT,5100,0,0,0,166,166,1.0
897821,interleave2023_24.0_00f4aca773e5675f35263dcd46b15bde,SAT,13.854,1,18,0,3,6,0.5
898156,interleave2023_24.0_d1f4348ad66cae01386777daae51c024,SLURM_TIME_LIMIT,5100,10,1478,5,30,86,0.3488372093023256
897965,interleave2023_24.0_4a6a797c6b4a8055d10b74edda9a5e30,SLURM_TIME_LIMIT,5100,0,831,0,72,121,0.5950413223140496
898095,interleave2023_24.0_a7bbcc6535cca5a37f015f29090e8797,SLURM_TIME_LIMIT,5100,7,65,0,3,8,0.375
897833,interleave2023_24.0_037c423f56548082b1935e88c48ffdda,SAT,0.254,6,6,0,2,3,0.6666666666666666
897947,interleave2023_24.0_40ae60a61929b6bfa2ac99ab4b9a0f7e,SLURM_TIME_LIMIT,5100,6,80,0,3,8,0.375
897967,interleave2023_24.0_4e64ffc14db014d5591f40865376c32a,UNDEFINED/UNSAT,1009.606,5,0,0,2,3,0.6666666666666666
898055,interleave2023_24.0_8f7cd9fb4b8852fdf9a21c606724c71a,UNDEFINED/UNSAT,1231.755,5,0,0,2,3,0.6666666666666666
898139,interleave2023_24.0_c40838cb3ed9babe51dc41185e70a3dd,OUT_OF_MEMORY,5100,0,0,0,0,0,0
898138,interleave2023_24.0_c32f194ad850c944142c74514dfb3c5f,SLURM_TIME_LIMIT,5100,0,0,0,167,167,1.0
