job_id,file_name,status,time
883866,cadical_2a4680a801ad32ab8768030250daf0c8,UNDEFINED,5000
884107,cadical_d0364ea3e1680c6da7e982e6b0264af6,SATISFIABLE,0
883834,cadical_1d42a7c3616ce163e292340cfcd34f97,out_of_memory,None
883861,cadical_291c2b4fa2d8b009cd2a8331891ba667,SATISFIABLE,77
883970,cadical_71cf538aa0751d27f144de9c8d82e458,UNDEFINED,4999
883867,cadical_2b3de92685792ae19e4549b5c4571e27,UNSATISFIABLE,179
884088,cadical_be5c82b97513a31e0b3bcc1c231018ad,UNSATISFIABLE,290
883968,cadical_71758ed7637888d4fd4593ec820677bc,SATISFIABLE,3
883958,cadical_6d67f76f114db9801952ed155e745e16,UNDEFINED,4999
883860,cadical_2902c241b2196f5fd914509fdc124ba7,UNDEFINED,5000
883895,cadical_3a7a64e1d6cf5ce969b2b05b5464f707,SATISFIABLE,34
883804,cadical_0be1e12a8e7282d1a4e389bb90f6dbc7,UNDEFINED,5000
883955,cadical_6aacae96461cb65176942b6dc88ea470,UNSATISFIABLE,2647
884040,cadical_a1276d5dcb822aa03806df58fa9ca1c8,UNSATISFIABLE,117
884019,cadical_93a87994c03a7752f85d863239555d48,SATISFIABLE,65
884054,cadical_a8dcaf436bda091dad9ca1ff58de7287,UNSATISFIABLE,722
884008,cadical_8db36208fc6ce43b4002cf048c549b3f,UNDEFINED,4999
884039,cadical_a0c7aea176b5a2b65c27c8af7039326b,UNSATISFIABLE,862
883779,cadical_01966a0fc52b2200a13f5f835275a919,UNSATISFIABLE,3711
883943,cadical_5dc5185101e1d439d14f0a04acfa9bfb,UNDEFINED,5000
884048,cadical_a6d7268b35eec18656a85ad91b0413e9,UNSATISFIABLE,342
883950,cadical_670a24d73dbadd3073e9604c6ef903d1,UNDEFINED,5000
883938,cadical_57c305967b30c503da1737258e6cc7e5,UNSATISFIABLE,985
884104,cadical_ce49f590c98885f7ac95567f2b1e7dd5,SATISFIABLE,115
883957,cadical_6bb485770dbc3943ea84933a03131958,UNSATISFIABLE,2051
884010,cadical_8f7cd9fb4b8852fdf9a21c606724c71a,UNSATISFIABLE,1131
883893,cadical_38ca761a5808eace8bc8f1fcfdb5b5a8,UNDEFINED,5000
883793,cadical_06b138e8a6da806e88ac7da2919cef30,UNSATISFIABLE,280
883773,cadical_00b46ace235e3915a439c77a231a5657,UNDEFINED,5000
883922,cadical_4e64ffc14db014d5591f40865376c32a,UNSATISFIABLE,845
883935,cadical_571a2f223784fb92a53b4cc8cc8b569e,UNSATISFIABLE,4
883907,cadical_428da12ab8f5f68ae261e6468c2fef73,UNDEFINED,5000
883857,cadical_28857e681fc6a9077d5a7d0e9c7a19ad,out_of_memory,None
883975,cadical_74931e82fd208ed949fa44bccd80df6b,SATISFIABLE,12
883928,cadical_524848d379582b63060ed43d3729b9f3,UNSATISFIABLE,2165
883917,cadical_48539e7e4baae6db72cda7e8a9cecfa0,out_of_memory,None
883980,cadical_79391ed5a7f19b947cefe7af1178146a,UNDEFINED,5000
884009,cadical_8e30bfdb721ca0a20031c79a76f9aa7c,UNSATISFIABLE,1872
884087,cadical_bdc85226a8d910a8b7d6a8730c7a4572,SATISFIABLE,98
883835,cadical_1ea7fe95e6158afe11f7b795b9aac939,out_of_memory,None
883791,cadical_03de316ba1e90305471a3b8620cb9cd7,SATISFIABLE,0
883971,cadical_71dbf7ab78ef93c3d491c67752f03fd1,UNSATISFIABLE,4
883906,cadical_4282ea42fd414bfd2c4bf81fe8a43e24,UNSATISFIABLE,24
884018,cadical_92d6795785d35d1dcc42b15dc0e933d0,UNSATISFIABLE,0
883933,cadical_558113ad4d50130351db8c426230a50f,UNSATISFIABLE,730
