job_id,file_name,status,time,new_unary,new_binary,other,total_derive_0,all_derive,percentage
900807,interleave_34.0_069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002,UNDEFINED/UNSAT,3926.122,3,380,194,64,82,0.7804878048780488
900846,interleave_34.0_55148deb944978e35b4a432e20ec4ccb-fixedbandwidth-eq-36_shuffled,UNDEFINED/UNSAT,2043.253,0,0,0,72,72,1.0
900887,interleave_34.0_b5c3e33e90f4c95502754c7e2e92a6d2-randomG-B-Mix-n16-d05,UNDEFINED/UNSAT,1696.808,2,677,6,33,79,0.4177215189873418
900850,interleave_34.0_64d576d1e096b44882b0e454f13d4c72-bivium-39-200-0s0-0x53e7622aad02b083b53dcd6a4a76f54a150ceb996ea1dfa300-63,UNDEFINED/UNSAT,1314.312,0,24,0,52,62,0.8387096774193549
900895,interleave_34.0_cf535843b8d62df0c46404c9d37464ee-Schur_160_5_d35,SAT,4805.866,0,5,0,83,86,0.9651162790697675
900903,interleave_34.0_df13625b6e8eb436cd884f5593c7216d-rphp5_035_shuffled,UNDEFINED/UNSAT,524.401,18,416,498,59,71,0.8309859154929577
900892,interleave_34.0_bc895df6a129123e196ab5912ea44d02-eq.atree.braun.12.unsat,UNDEFINED/UNSAT,3394.124,10,655,41,15,59,0.2542372881355932
900828,interleave_34.0_2da2d8242d31196d7a3d282e9cae4706-hwb-n26-02-S1189729474.shuffled-as.sat03-1623,UNDEFINED/UNSAT,2857.92,2,14,12,67,78,0.8589743589743589
900904,interleave_34.0_e273e0bf8ff1fa2a797b41f9a5f4beb5-fixedbandwidth-eq-35_shuffled,UNDEFINED/UNSAT,2103.96,0,0,0,72,72,1.0
900900,interleave_34.0_d4d2f27d791731f2c90da10e7b5797d9-rbsat-v760c43649gyes5,SAT,1201.335,0,0,7,70,70,1.0
900865,interleave_34.0_8270ae50e6f2881136868db6d3a88eee-WS_400_24_90_10.apx_2_DC-AD,UNDEFINED/UNSAT,4358.889,2,63,11,80,86,0.9302325581395349
900848,interleave_34.0_58018fa1dbb96cc22bd83084e087dafc-MUS-v320-3,SLURM_TIME_LIMIT,5100,0,4,0,86,88,0.9772727272727273
900875,interleave_34.0_9c82b5ba37a92ea9156ded907b1ab588-VanDerWaerden_pd_2-3-23_507,UNDEFINED/UNSAT,4885.184,1,3,1404,107,111,0.963963963963964
900858,interleave_34.0_79b8367e104560d2446fc9a5e2b86af2-MUS-v320-1,SLURM_TIME_LIMIT,5100,0,3,0,84,87,0.9655172413793104
900914,interleave_34.0_f7c410dd8317053fb1cfe93beb092d34-SGI_30_70_28_50_1-dir.shuffled-as.sat03-173,UNDEFINED/UNSAT,4255.499,0,88,94,76,91,0.8351648351648352
900842,interleave_34.0_4b52babff4fc7a1682ba5b2ce089e689-SGI_30_70_26_60_1-dir.shuffled-as.sat03-167,UNDEFINED/UNSAT,2376.988,2,136,67,62,77,0.8051948051948052
900911,interleave_34.0_f24dbbdcac17bcbaeb187c03e11bdf49-bivium-39-200-0s0-0x28df9231b320bd56dfb68bfc7c3f0ca20dbae6b0eba535ad91-98,UNDEFINED/UNSAT,1411.896,0,41,0,48,62,0.7741935483870968
900863,interleave_34.0_81d2158d506ea1049708837460b9387e-WS_400_24_70_10.apx_2_DC-AD,UNDEFINED/UNSAT,1649.56,0,12,1,66,70,0.9428571428571428
900867,interleave_34.0_8a6e8365555580ed3e0ccea9998b5fa6-SGI_30_70_26_40_6-dir.shuffled-as.sat03-163,UNDEFINED/UNSAT,3331.788,5,520,206,65,85,0.7647058823529411
900908,interleave_34.0_eefcd0e28a0747366b3480cda341784f-MUS-v310-3,SLURM_TIME_LIMIT,5100,0,11,0,89,93,0.956989247311828
900910,interleave_34.0_f0e964156d4d5ce17ecc9fa95b89c3d4-bivium-40-200-0s0-0x66b619d7b8e447710bf43b794ded6cfaf1e75bb8a947e14c78-50,UNDEFINED/UNSAT,1108.353,0,46,0,48,59,0.8135593220338984
900826,interleave_34.0_261e338938f4757e91f0cf753484d662-connm-ue-csp-sat-n800-d0.02-s111845174.sat05-536.reshuffled-07,UNDEFINED/UNSAT,4460.753,1,242,0,42,70,0.6
900871,interleave_34.0_8e883992b13498772ed8af6df10e557c-ctl_3082_415_unsat_pre,UNDEFINED/UNSAT,2411.265,0,1015,71,21,53,0.39622641509433965
900879,interleave_34.0_a48bfbd6ad8a8c4b9475291fdc540f1b-mp1-rubikcube401,UNDEFINED/UNSAT,2431.64,187,2271,1,19,44,0.4318181818181818
900806,interleave_34.0_05f3a48298721d68cded8618b432e7c3-s85-100,UNDEFINED/UNSAT,3432.327,0,6,0,101,103,0.9805825242718447
900880,interleave_34.0_a88dcbc4b23784eaeb4afdde82d4da67-MUS-v310-4-sc2013,UNDEFINED/UNSAT,2894.51,0,8,2,73,78,0.9358974358974359
900804,interleave_34.0_041ef0a56340a623c38e6b9012933624-shuffling-2-s554396412-of-bench-sat04-318.used-as.sat04-598,UNDEFINED/UNSAT,1706.784,0,15,10,78,83,0.9397590361445783
900836,interleave_34.0_3c7895272d4123b866a3edb5a1f970c3-fixedbandwidth-eq-33_shuffled,SLURM_TIME_LIMIT,5100,0,0,0,83,83,1.0
